dayNumber,Status
1,6
2,6
3,6
4,6
5,2
6,6
7,4
8,6
9,6
10,6
11,6
12,4
13,6
14,4
15,6
16,6
17,6
18,6
19,4
20,6
21,4
22,6
23,6
24,6
25,6
26,4
27,6
28,4
29,6
30,6
31,6
32,6
33,4
34,6
35,4
36,6
37,6
38,6
39,6
40,4
41,6
42,4
43,6
44,6
45,6
46,6
47,4
48,6
49,4
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,2
67,2
68,2
69,2
70,2
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,4
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,4
108,2
109,2
110,2
111,2
112,0
113,3
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,4
125,6
126,4
127,6
128,6
129,6
130,6
131,4
132,6
133,4
134,6
135,6
136,6
137,6
138,4
139,6
140,4
141,6
142,6
143,6
144,6
145,4
146,6
147,4
148,6
149,6
150,6
151,6
152,4
153,6
154,4
155,6
156,6
157,6
158,6
159,4
160,6
161,4
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,4
172,4
173,3
174,4
175,3
176,4
177,4
178,4
179,4
180,4
181,6
182,4
183,6
184,6
185,6
186,6
187,4
188,6
189,4
190,6
191,6
192,6
193,6
194,4
195,6
196,4
197,6
198,6
199,6
200,6
201,4
202,6
203,4
204,6
205,6
206,6
207,6
208,4
209,6
210,4
211,6
212,6
213,3
214,3
215,3
216,3
217,3
218,4
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,6
228,6
229,4
230,6
231,4
232,6
233,6
234,6
235,6
236,4
237,6
238,4
239,6
240,6
241,2
242,6
243,4
244,6
245,4
246,6
247,6
248,6
249,6
250,4
251,6
252,4
253,6
254,6
255,6
256,6
257,2
258,6
259,4
260,6
261,6
262,6
263,6
264,4
265,6
266,4
267,6
268,6
269,6
270,6
271,4
272,6
273,4
274,6
275,6
276,6
277,6
278,4
279,6
280,4
281,6
282,6
283,6
284,6
285,4
286,6
287,4
288,6
289,6
290,6
291,6
292,4
293,6
294,4
295,6
296,6
297,6
298,6
299,4
300,6
301,4
302,6
303,6
304,6
305,6
306,4
307,6
308,4
309,6
310,6
311,6
312,6
313,4
314,6
315,4
316,6
317,6
318,6
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,4
327,3
328,4
329,3
330,4
331,4
332,4
333,4
334,3
335,4
336,3
337,4
338,4
339,4
340,4
341,3
342,4
343,3
344,4
345,4
346,4
347,4
348,3
349,4
350,3
351,4
352,4
353,4
354,3
355,3
356,3
357,3
358,3
359,6
360,6
361,6
362,6
363,6
364,6
365,6
